file	line	syntax	primary_owner	retry	redaction	rationale	source
crates/cdf-dest-clickhouse/src/client.rs	111	CdfError::data	finalized_package_data	none	bounded_package_segment_or_schema_context	Malformed, inconsistent, over-bound, or noncanonical finalized package evidence belongs to the supplied data.	                .map_err(|_| CdfError::data("ClickHouse Arrow batch memory size exceeds u64"))?;
crates/cdf-dest-clickhouse/src/client.rs	113	CdfError::data	finalized_package_data	none	bounded_package_segment_or_schema_context	Malformed, inconsistent, over-bound, or noncanonical finalized package evidence belongs to the supplied data.	                return Err(CdfError::data(format!(
crates/cdf-dest-clickhouse/src/client.rs	120	CdfError::data	finalized_package_data	none	bounded_package_segment_or_schema_context	Malformed, inconsistent, over-bound, or noncanonical finalized package evidence belongs to the supplied data.	                        CdfError::data("ClickHouse Arrow batch row count exceeds u64")
crates/cdf-dest-clickhouse/src/client.rs	123	CdfError::data	finalized_package_data	none	bounded_package_segment_or_schema_context	Malformed, inconsistent, over-bound, or noncanonical finalized package evidence belongs to the supplied data.	                .ok_or_else(|| CdfError::data("ClickHouse inserted row count overflowed"))?;
crates/cdf-dest-clickhouse/src/client.rs	162	CdfError::internal	cdf_invariant	none	operation_context_only	A CDF-owned lifecycle, serialization, generated-shape, arithmetic, or validated-plan invariant failed.	        .ok_or_else(|| CdfError::internal("ClickHouse client cache lost concurrent installation"))
crates/cdf-dest-clickhouse/src/client.rs	54	CdfError::internal	cdf_invariant	none	operation_context_only	A CDF-owned lifecycle, serialization, generated-shape, arithmetic, or validated-plan invariant failed.	            return Err(CdfError::internal(format!(
crates/cdf-dest-clickhouse/src/error.rs	14	ErrorKind::Transient	remote_transport	host_policy_only	controlled_message_and_stable_code_only	Network, timeout, or a stable transient server code may recover after external state changes.	                .unwrap_or(ErrorKind::Transient),
crates/cdf-dest-clickhouse/src/error.rs	165	CdfError::auth	test_fixture	none	test_only	Test-only fixture or assertion verifies the production ownership boundary.	            Error::Other(Box::new(CdfError::auth("credential owner"))),
crates/cdf-dest-clickhouse/src/error.rs	167	ErrorKind::Auth	test_assertion	none	test_only	Test-only fixture or assertion verifies the production ownership boundary.	        assert_eq!(direct.kind, ErrorKind::Auth);
crates/cdf-dest-clickhouse/src/error.rs	170	CdfError::rate_limited	test_fixture	preserved_875_ms_fixture	test_only	Test-only fixture or assertion verifies the production ownership boundary.	        let nested = std::io::Error::other(std::io::Error::other(CdfError::rate_limited(
crates/cdf-dest-clickhouse/src/error.rs	175	ErrorKind::RateLimited	test_assertion	none	test_only	Test-only fixture or assertion verifies the production ownership boundary.	        assert_eq!(nested.kind, ErrorKind::RateLimited);
crates/cdf-dest-clickhouse/src/error.rs	17	ErrorKind::Transient	remote_transport	host_policy_only	controlled_message_and_stable_code_only	Network, timeout, or a stable transient server code may recover after external state changes.	        Error::TimedOut => (ErrorKind::Transient, "transport timeout"),
crates/cdf-dest-clickhouse/src/error.rs	189	ErrorKind::Environment	test_assertion	none	test_only	Test-only fixture or assertion verifies the production ownership boundary.	        assert_eq!(permission.kind, ErrorKind::Environment);
crates/cdf-dest-clickhouse/src/error.rs	18	ErrorKind::Internal	cdf_invariant	none	controlled_message_and_stable_code_only	An official-client request/serialization API invariant failed after CDF validation.	        Error::Compression(_) => (ErrorKind::Internal, "payload compression invariant failed"),
crates/cdf-dest-clickhouse/src/error.rs	198	ErrorKind::Transient	test_assertion	none	test_only	Test-only fixture or assertion verifies the production ownership boundary.	        assert_eq!(timeout.kind, ErrorKind::Transient);
crates/cdf-dest-clickhouse/src/error.rs	205	ErrorKind::Auth	test_assertion	none	test_only	Test-only fixture or assertion verifies the production ownership boundary.	            ErrorKind::Auth
crates/cdf-dest-clickhouse/src/error.rs	20	ErrorKind::Destination	clickhouse_destination_response	none	controlled_message_and_stable_code_only	A malformed, unsupported, or schema-contradicting destination response is non-retryable remote evidence.	            ErrorKind::Destination,
crates/cdf-dest-clickhouse/src/error.rs	213	ErrorKind::RateLimited	test_assertion	none	test_only	Test-only fixture or assertion verifies the production ownership boundary.	            ErrorKind::RateLimited
crates/cdf-dest-clickhouse/src/error.rs	221	ErrorKind::RateLimited	test_assertion	none	test_only	Test-only fixture or assertion verifies the production ownership boundary.	            ErrorKind::RateLimited
crates/cdf-dest-clickhouse/src/error.rs	229	ErrorKind::Transient	test_assertion	none	test_only	Test-only fixture or assertion verifies the production ownership boundary.	            ErrorKind::Transient
crates/cdf-dest-clickhouse/src/error.rs	235	ErrorKind::Internal	test_assertion	none	test_only	Test-only fixture or assertion verifies the production ownership boundary.	        assert_eq!(generated.kind, ErrorKind::Internal);
crates/cdf-dest-clickhouse/src/error.rs	247	ErrorKind::Destination	test_assertion	none	test_only	Test-only fixture or assertion verifies the production ownership boundary.	            ErrorKind::Destination
crates/cdf-dest-clickhouse/src/error.rs	24	ErrorKind::Destination	clickhouse_destination_response	none	controlled_message_and_stable_code_only	A malformed, unsupported, or schema-contradicting destination response is non-retryable remote evidence.	            ErrorKind::Destination,
crates/cdf-dest-clickhouse/src/error.rs	255	ErrorKind::Destination	test_assertion	none	test_only	Test-only fixture or assertion verifies the production ownership boundary.	            ErrorKind::Destination
crates/cdf-dest-clickhouse/src/error.rs	265	ErrorKind::Internal	test_assertion	none	test_only	Test-only fixture or assertion verifies the production ownership boundary.	        assert_eq!(internal.kind, ErrorKind::Internal);
